School Name,Conference,Strength of Statement (Mentioning Good Cops) 1-7,Strength of Statement,Statement Link,Statement text,On Twitter?,"""Murder/Killing""","""Institutional/Systemic Racism""","""George Floyd""","""Breonna Taylor""","""Mentions-Blackness/Discrimination against Black people""",Taking Action?,"""Issue of Police""",Good Cops?,Follow up/updated statement?,Follow up Link
Belmont University,,,,No Statement,,,,,,,,,,,,
Bentley University,,3,3,https://www.bentley.edu/news/living-our-values-difficult-times,"Dear Students, Faculty and Staff, 

The last few months of living in quarantine has been a life-altering experience for all of us. While we’ve adapted to learning, teaching and working remotely, the global pandemic has upended our daily routines, experiences and conventions. Like many of you, I closely follow the impact of COVID-19 on our community, commonwealth and nation. The grim milestone of 100,000 deaths from COVID-19 reminds us all of the toll this virus has taken on individuals and families. Personally, I’ve tried to balance the moments of frustration in isolation with walks around campus and the neighborhood, and time away from the computer screen, unwinding at home with my husband and sons. But “balance” has been particularly hard to achieve in recent days. 

George Floyd, Ahmaud Arbery and Breonna Taylor were men and women with families and friends, careers and hobbies, and hopes and aspirations. George went to the store. Ahmaud went for a jog. Breonna was at home. Their lives were like those of many other men and women of color in America, including those in our own Bentley community. Deep-seated, systemic racism and violence meant George, Ahmaud and Breonna were in life-threatening — and life-ending — situations because of the color of their skin. So many people of color across this country endure prejudice, intolerance, bias and bigotry every day while undertaking ordinary activities. It happens in Minnesota, Georgia and Kentucky, but it also happens in Massachusetts, in Waltham, and in every one of our communities. These recent incidents have reminded us that it is incumbent upon all of us to stand up against injustice and intolerance, whenever and wherever we see it. The nationwide protests that have erupted over the past few days have left me both anxious and inspired. It is difficult to see my hometown of Minneapolis in flames, especially so near to family and friends. And yet, it is inspiring to see people take action against injustice, including my friend Joan Gabel, president of the University of Minnesota, who severed ties with the Minneapolis police department last week. This unprecedented action sends a strong message that acts of brutality and violence against people of color will not be tolerated.",No,No,Yes,Yes,Yes,No,No,No,No,,
Berry College,,5,5,https://www.berry.edu/about/office-of-the-president/memory-george-floyd,"Dear Berry Community:

It is a raw and disturbing image: the knee of a white police officer pressing against the neck of a black man lying face down on the pavement. The image records a bitter truth: the officer and his colleagues ignoring George Floyd as he pleads over and over that he cannot breathe, until he loses consciousness.

This image has galvanized our nation because it also symbolizes a long and brutal history: the knee of the white establishment pressed hard against the necks of black men and women. For decades, people of color have pleaded that the structures imposed on their communities have made it impossible for them to breathe freely. Too often, those in positions of authority and power have ignored or responded superficially to their appeals for help and fairness.

Those of us in the white community sometimes look with disapproval at these appeals because they take a form that we judge unacceptable. Rosa Parks takes a seat at the front of a bus. Colin Kaepernick takes a knee during the National Anthem. A crowd chants in Lafayette Park. We take offense. But before we condemn the methods of those who protest, we should first think hard about the injustice of silence and those three officers who said nothing while George Floyd cried out desperately for help.

The cries of anguish we hear from our African-American friends and neighbors are genuine and heart-wrenching. I heard one commentator say that every black parent he knew could not help but picture the face of their own son or daughter under that knee. That’s a perspective I needed to hear and consider repentantly.

This summer at Berry is uncommonly quiet. In many ways, it seems a tranquil harbor, a place of safety. Even here, however, we need to be attentive to the undercurrents of distress. For the last several years, a group of students has organized “Solidarity Week,” a series of events designed to facilitate conversation and insight about uncomfortable issues related to race and difference. Last fall’s event included a chapel service of lament, a time of truth-telling and remorse. I was particularly moved by one student, a well-liked athlete, who spoke of his difficult high school years in a Georgia community and how glad he was to be at a place like Berry where he was accepted and respected. But even at Berry, it turned out, he experienced moments of real pain and frustration as friends categorized him in certain ways simply because he was black. It was a troubling insight. Many of us experience Berry as a warm and caring place, but we must not take that for granted. We must help make it so for others as well, no matter our apparent differences, no matter our color.

A month ago, I read an essay by Lecrae, the recording artist and songwriter, discussing the importance of listening to one another’s stories. “The stories we share,” he wrote, “are not simply about facts and propositions. Sharing stories means sharing emotions and rendering ourselves vulnerable to others. And we can recognize the full range of emotions in our stories. Constructive anger leads to passionately fighting for the rights of the marginalized; destructive anger leads to burning buildings and rioting.”

Lecrae asks us to listen to others even when we find their stories disturbing. His words were written many months before the events of this past week. Anticipating a moment such as this, he explains: “it’s actually easier for us to believe a false narrative that fits our outlook on the world than a true narrative that shakes and shatters our perspective. And that is true regardless of where we stand.” That applies to you and me alike; we are all part of a broken humanity and prone to categorizing and typecasting others.

Friday night, responding to violence in Atlanta and elsewhere, Reverend Bernice King, daughter of Dr. Martin Luther King, Jr., conveyed a similar message. “The end goal is we want change and we want it now…let’s stay focused [on nonviolence and peace] and remember: everybody is not on the same page. There are people who will try to incite a race war in this country. Let’s not fall into their hands and into their trap. There’s another way…Let’s not go back to business as usual. Let’s deal with these issues that people are crying out of their soul and their spirit…”

Berry has always emphasized an education of the whole person: head, heart and hands. When it comes to matters of race in America, we need just this sort of an education. We need to understand the societal structures and personal narratives that perpetuate racial injustice and insensitivity. We need to build bridges through generous actions and intentional friendships. And those of us in the white community need to listen receptively and respectfully to the heartache and rage of our African-American neighbors, if we hope for them to listen to some of the wounds and sorrows we carry.

In this way, we can learn how our words, actions, and attitudes must change. We can work to establish the kind of caring community that allows people of different backgrounds, interests and experiences to flourish side by side, regardless of race or ethnicity. We can make this one of our abiding institutional goals.

This past weekend, students and others here at Berry for the summer met outside the College Chapel, mindful of social distancing, to share their stories, express their anguish, and mourn our nation’s history of racial injustice. They plan to meet regularly this summer to create a safe place for those wanting to build bridges of understanding and deep friendship. Various student groups are working with professional staff to provide means for students, while away for the summer, to join this safe place virtually to grieve and consider these issues intently with others in the Berry community. Watch your email for more information.

It is fitting that this gathering occurred at the Chapel, for Berry has been shaped by values that are grounded in faith, values that emphasize a receptive mind, a generous heart, and hands willing to serve. As we look toward the fall semester and the prospects of a challenging election year, will you please join me in holding ourselves to an appropriately high standard as expressed in Paul’s Letter to the Ephesians (4:1-2): “To walk in a manner worthy of the calling with which you have been called, with all humility and gentleness, with patience, showing tolerance for one another in love.”

Sincerely,

Steve Briggs",No,Yes,Yes,Yes,No,Yes,Yes,No,No,,
Boston College,,2,2,https://pro-bee-beepro-messages.s3.amazonaws.com/333451/345031/990066/5185980.html,"June 2, 2020



Dear Members of the Boston College Community:



The senseless death of George Floyd while in police custody has left millions in our country shaken, angry, and wondering how is it possible in our day that another black person in America could die in such circumstances. I share those feelings and questions, and I particularly ask how we at Boston College, members of an academic and faith community, can and should respond to the inhumane, racist behavior so evident last week in Minneapolis.



First, I invite you to join me in praying for George Floyd—whose brother described him as a God-fearing person and a man of peace—and for his family and all those who mourn his death. May God give them the strength and consolation they need at this time of devastating loss and sorrow.



In addition, we must condemn the racial prejudice and profound injustice leading to this latest shocking loss of a black person’s life in our country. Reflecting its Jesuit, Catholic heritage, Boston College insists that everyone should be treated with dignity, respect, and grace. It is essential that all of us review our lives to ensure that we act in accord with the Gospel mandate to love God and neighbor. Hatred and racism have no place anywhere, and we are called to challenge such behavior when manifested not only in our community but also in our nation and world.



Finally, it is essential that we remain people animated by faith, hope, and love and not let frustration, anger, and violence prevail. I believe especially helpful and appropriate for us today are words in the eighteenth chapter of the Gospel of St. Luke: “Pray and not lose heart.” And strengthened by our faith and bonds with one another, we must recommit ourselves to promoting a society where all have the possibility of life, liberty, and justice.



Image
William P. Leahy, S.J.

President",Yes,No,No,Yes,No,Yes,No,No,No,,
Boston University,,4,4,http://www.bu.edu/president/our-challenge-in-a-time-of-crisis/?utm_source=twitter&utm_medium=photo&utm_content=university&utm_campaign=social_main,"June 1, 2020

Dear Friends,

In the midst of the COVID-19 pandemic and our efforts to restore campus operations, our nation has been rocked by acts of violence and ensuing unrest and disruption that have now occurred here in Boston. We are confronted, once again, by the grim reality of systemic racism in our country. The killings of George Floyd, Ahmaud Arbery, Breonna Taylor, and others bring to the forefront these abhorrent elements in our society. At a time when we rely on our police more than ever, we watch painful examples of some officers breaking the public trust in the most egregious ways. These injustices are amplified by the vividly disparate impact of COVID-19 on African Americans in particular, as well as on other ethnic or minority communities.

We grieve for our country and those who are affected by systemic racism, just as we grieve for those afflicted by COVID-19. We will defeat COVID-19 using science and our collective will. We must commit the same will and energy to defeat systemic racism. We must reject the forces in our society that are driving us apart and commit ourselves to creating a just society.

In the current troubled climate, I believe our commitment to restoring our residential campus is made all the more important by the divisions in our country. We are working nonstop to restore campus operations for the fall and will shortly make more detailed announcements about this effort. This is critical because our residential community brings together students from every background to live and learn together, with our faculty, in an atmosphere that promotes mutual understanding and respect. And we are continually working to do this better for all members of the Boston University community. As I write you today, I recall the two months last spring when we witnessed the uniting effect on our community of the expanded Howard Thurman Center for Common Ground, before campus life was abruptly interrupted by the virus. Our return to our residential campus and our personal interactions with one another that are not mediated by a computer screen is essential to the critical work we must undertake to build a campus, a community, and a society that is free from systemic racism.

When we return to Commonwealth Avenue, life on campus will not look or be the same as it was last fall, but we can create a learning community that preserves Boston University as a beacon for the country and world. Such beacons are desperately needed in our country today. I look forward to welcoming you back to campus.

Sincerely,

Robert A. Brown signature
Robert A. Brown
President",Yes,Yes,Yes,Yes,Yes,No,No,No,No,,
Brandeis University,,5,5,https://www.brandeis.edu/president/letters/2020-06-01-standing-together-against-racist-violence.html,"June 1, 2020

Dear Members of the Brandeis Community,

George Floyd’s killing was cruel, inhumane, and contemptible. The injustice of violence against black people must stop.

The history of our great university is intertwined with the pursuit of justice. Brandeis was created in response to antisemitism and bigotry. We cannot tolerate discrimination, hatred, or violence against another person based on their race, religion, or background. These values are as important today as they were at our founding.

These are not just words or noble ideas. These are principles that inspire us at Brandeis to educate, to learn, and to act.

With that in mind, I join with Mark Brimhall-Vargas, chief diversity officer, in calling for us to come together, even if virtually. In the message Mark sent on Friday, he mentioned two different events happening this week. The Heller School is hosting a conference, “Co-Constructing Racial Justice through Life and Work.” And Mark will host “Coming Together to Face Systemic Racism.” I hope you will join me in attending both.

As Brandeisians, not all of our experiences are shared ones. We come from different backgrounds and have different perspectives. But I know that there are some things we have in common. This includes an unwavering commitment to justice, equity, and inclusion. It includes respecting other people, no matter their background.

I hope to see you at one of the events tomorrow or the next day. Let us come together to express our commitment to ending racist violence.

Sincerely,

Ron",No,Yes,Yes,Yes,No,Yes,Yes,No,NO,,
Brigham Young University,,2,2,https://twitter.com/BYU/status/1267594461296513024,"A message from BYU President Kevin J Worthen: 

With the tragic deaths of George Floyd, Breonna Taylor, Ahmaud Arbery and others over the years, and the confluence of recent events, important conversations are happening throughout the nation, including at BYU. We extend our love and concern to all members of our university community who are impacted by these events. We know there is work to do, on campus and throughout the nation, for us to better come together, to address injustice and to truly love one another. It will take sustained effort from all of us to make things better. We remain committed to doing that. We can do that in a unique way at BYU because of our understanding of the important truth that each of us are children of heavenly parents. BYU stands firmly against racism and violence in any form and is committed to promoting a culture of safety, kindness, respect and love. As we continue to move forward together, let us do so with charity. Let us be kind. Let us respect others. Let us listen. Let us follow the example of Jesus Christ.",Yes,No,No,Yes,Yes,No,No,No,No,,
Brown University,,7,7,https://www.brown.edu/news/2020-06-01/injustice,"Dear Brown Community, 

We write to you today as leaders of this university to express first deep sadness, but also anger, regarding the racist incidents that continue to cut short the lives of black people every day. 

The sadness comes from knowing that this is not a mere moment for our country. This is historical, lasting and persistent. Structures of power, deep-rooted histories of oppression, as well as prejudice, outright bigotry and hate, directly and personally affect the lives of millions of people in this nation every minute and every hour. Black people continue to live in fear for themselves, their children and their communities, at times in fear of the very systems and structures that are supposed to be in place to ensure safety and justice. 

The anger comes from knowing that we have been here before, and in fact have never left. Rallies and protests across the country are raising voices about ongoing injustice in the wake of the killings of Ahmaud Arbery in Georgia, Breonna Taylor in Louisville, KY, and George Floyd in Minneapolis. As a nation, we might have thought there would be some real change after the deaths of Freddie Gray and Sandra Bland, both who died in police custody in 2015, a year in which some justice organizations reported more than 100 police shootings of unarmed black people in the United States. And this was after our nation mourned and protested the ongoing epidemic of racism with the 2014 deaths of Michael Brown, Eric Garner, Tamir Rice and countless others before and after that year. 

All of these deaths “launched national conversations” about anti-black racism. And we know that so many in our community keep asking how many times these conversations have to happen before there is real change. We know there are so many in our community hurting and deeply frustrated, and things are made worse by a pandemic that doesn’t allow us to be together and is disproportionately killing black people. We have not been able to gather in some of the ways that usually unite us to build collective understanding, mourn and make calls for action. 

We hope that wherever you may be, you seek to effect change in your communities in the ways that make sense for you while preserving your health and safety in this time of COVID-19. And this does not apply only to members of our community residing in the United States. Tragic and traumatic examples of injustice against racial, ethnic and religious minorities persist around the world, resulting in horrific instances of brutality, incarceration and death. Our local and national government leaders need to hear from us as individual constituents in their communities consistently and persistently on issues of racial and ethnic injustice. 

As a university, we have tremendous resources in our departments, centers and institutes that can help our community and our society interrogate the persistent and deeply disturbing issues related to race, racism and police violence in America. In the weeks and months to come, we will leverage the expertise of our faculty, staff and students to develop programming, courses and research opportunities designed to advance knowledge and promote essential change in policy and practice in the name of equity and justice. 

We are a community that does not condone acts of racism, discrimination or violence. This cannot be accepted as “normal.” We must continue to demand equity and justice for all people, inclusive of all identities. And we must continue to care for and support each other, especially in this time when we are apart. 

Sincerely, 

Christina H. Paxson, President 
Richard M. Locke, Provost 
Amanda Bailey, Vice President for Human Resources 
Andrew Campbell, Dean of the Graduate School 
Russell Carey, Executive Vice President for Planning and Policy 
Barbara Chernow, Executive Vice President for Finance and Administration 
Cass Cliatt, Vice President for Communications 
Shontay Delalue, Vice President for Institutional Equity and Diversity 
Joseph Dowling, Chief Executive Officer, Investment Office 
Jack Elias, Senior Vice President for Health Affairs, Dean of Medicine and Biological Sciences 
Eric Estes, Vice President for Campus Life and Student Services 
Eileen Goldgeier, Vice President and General Counsel 
Sergio Gonzalez, Senior Vice President for Advancement 
Marguerite Joutz, Chief of Staff and Assistant to the President 
Larry Larson, Dean of Engineering 
Bess Marcus, Dean of the School of Public Health 
Kevin McLaughlin, Dean of the Faculty 
Jill Pipher, Vice President for Research 
Bill Thirsk, Chief Digital and Information Officer 
Michael White, Chief Financial Officer 
Rashid Zia, Dean of the College",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,
Bryn Mawr College,,,,No Statement,,,,,,,,,,,,
Bucknell University,,,,No Statement,,,,,,,,,,,,
Butler University,,4,4,https://www.butler.edu/sites/default/files/message_presidentjamesmdanko.pdf,"Dear Butler Community Members,
The historic legacy of Butler University has its origins in its founding mission of 1855. Five years before the
outbreak of civil war that divided our nation over issues of slavery and succession, Ovid Butler and
community leaders established North Western Christian University, the forbearer of today’s Butler
University. Central to its unwavering sense of purpose was the fundamental belief that education should be
available to all—regardless of race, gender, or religion.
Today I would like to share thoughts on a broader set of issues confronting us. The global health crisis of the
past few months is now intersecting with a major national crisis: civil unrest sweeping across the nation
rooted in social injustice and economic disparity. The grief and anger being expressed in cities throughout
the country were sparked by the inexcusable killing of George Floyd in Minneapolis. We must recognize that
the origins of this grief and anger run much deeper as structural racism has historically disadvantaged Black
Americans and people of color. Incidences of racial profiling have become an all-too-common occurrence.
While the pandemic is affecting universities in profound ways, higher education cannot abdicate its
responsibility to be leaders of dialogue about the many issues our nation is confronting. We are part of a
community of learners that values well-reasoned, evidence-based, compassionate dialogue. Let us not accept
all narratives. Let us work to find the common ground of truth that can lead us all to better solutions.
The health crisis and the end of the academic year have removed us from our personal interactions. But even
at a distance, we are still connected to each other as members of the Butler community. Let us be mindful of
those community members whose lives are personally affected by issues of racism, social injustice, and
economic disparity, especially our students who depend upon us to serve as educators and role models. Let
us also be sensitive to the many members of our community facing serious pandemic-related challenges—
whether physical, emotional, or financial.
Inherent in our founding mission, and reinforced by the contemporary “Butler Way,” is our shared moral
obligation to strive for a world in which the rights of all people are respected, and equal opportunities are
afforded, regardless of race, or whatever identities and backgrounds people represent.
It is my hope that everyone in the Butler community accepts leadership responsibility to reenergize and
reinforce the positive and fair-minded principles upon which this country was founded, and which were
further underscored by President Abraham Lincoln—that all individuals are created equal with the right
for “life, liberty and the pursuit of happiness.” I am confident that such values were in the mind of Ovid
Butler when he founded our institution, and they remain ones to which we are collectively beholden today.
I welcome your thoughts and suggestions",No,Yes,Yes,Yes,No,Yes,No,No,No,,
